;Station;Core;Core_ID;Depth;Gravel;VC_Sand;C_Sand;M_Sand;F_Sand;VF_Sand;Silt_Clay;OM;CaCO3
BOL A2;BOL;A;BOL_A;2;2.462700842;0.743592196;9.932096404;16.38771997;14.29322877;43.29332441;12.88733741;16.8851571;6.538796415
BOL A4;BOL;A;BOL_A;4;;;;;;;;14.40089499;6.615847543
BOL A6;BOL;A;BOL_A;6;0.103180745;0.787745302;6.405143163;12.68924738;14.89175943;55.08264381;10.04028018;18.53022792;7.156823496
BOL A8;BOL;A;BOL_A;8;;;;;;;;;
BOL A10;BOL;A;BOL_A;10;;;;;;;;17.60915079;6.007945667
BOL A12;BOL;A;BOL_A;12;;;;;;;;;
BOL A14;BOL;A;BOL_A;14;0.429589481;0.616280237;5.050687544;13.78901937;15.44313962;53.42366757;11.24761618;16.53271816;9.253559557
BOL A16;BOL;A;BOL_A;16;;;;;;;;;2.318523985
BOL A18;BOL;A;BOL_A;18;0.158252397;0.890557607;6.098923263;12.06131505;10.6308375;55.02839234;15.13172185;13.93106391;5.826617499
BOL A20;BOL;A;BOL_A;20;;;;;;;;;
BOL A22;BOL;A;BOL_A;22;;;;;;;;;
BOL A24;BOL;A;BOL_A;24;0.087320357;0.556667273;2.79425141;10.83863926;15.23740222;55.36656358;15.1191559;;
BOL A26;BOL;A;BOL_A;26;;;;;;;;17.98255146;7.756589773
BOL A28;BOL;A;BOL_A;28;0.384756321;1.048919018;4.465921583;13.65426896;17.64840601;36.29534628;26.50238182;;
BOL A40;BOL;A;BOL_A;40;;;;;;;;;
BOL A42;BOL;A;BOL_A;42;0.477158037;0.460367978;8.501076219;13.99327954;11.99025025;54.20060164;10.37726634;8.473991507;5.794798301
BOL A44;BOL;A;BOL_A;44;;;;;;;;;
BOL A46;BOL;A;BOL_A;46;;;;;;;;5.133269262;3.499227935
BOL A48;BOL;A;BOL_A;48;;;;;;;;;
BOL A50;BOL;A;BOL_A;50;;;;;;;;9.414317635;5.432519766
BOL A52;BOL;A;BOL_A;52;0.129152707;0.928365003;10.23886857;14.10194113;10.51891256;55.06380911;9.018950922;;
BOL A54;BOL;A;BOL_A;54;0.143303686;0.593132442;6.255551128;13.00981517;15.11530382;55.86424249;9.018651267;8.233228385;5.12511504
BOL A56;BOL;A;BOL_A;56;;;;;;;;;
BOL A58;BOL;A;BOL_A;58;;;;;;;;23.61505084;8.513541869
BOL A60;BOL;A;BOL_A;60;;;;;;;;;
BOL A62;BOL;A;BOL_A;62;;;;;;;;11.13540377;5.424699629
BOL A64;BOL;A;BOL_A;64;0.152484859;0.176109274;2.598685623;10.11554486;26.09638761;52.10686826;8.753919505;;
BOL A66;BOL;A;BOL_A;66;;;;;;;;18.03247079;9.267363387
BOL A68;BOL;A;BOL_A;68;0.54157375;1.05129022;6.48730053;15.62165137;16.41808335;47.69324336;12.18685742;;
BOL A70;BOL;A;BOL_A;70;;;;;;;;;
BOL A72;BOL;A;BOL_A;72;;;;;;;;;
BOL A74;BOL;A;BOL_A;74;;;;;;;;15.93467327;6.05629267
BOL A76;BOL;A;BOL_A;76;;;;;;;;;
BOL A78;BOL;A;BOL_A;78;;;;;;;;8.625663701;6.481952775
BOL A80;BOL;A;BOL_A;80;;;;;;;;;
BOL A82;BOL;A;BOL_A;82;;;;;;;;7.683708451;4.658339544
BOL A84;BOL;A;BOL_A;84;0.089584466;0.602589527;11.10464538;12.83967443;24.0071055;44.6100013;6.746399394;;
BOL A86;BOL;A;BOL_A;86;;;;;;;;6.57556398;5.7647589
BOL A88;BOL;A;BOL_A;88;0.042352051;0.058234071;11.96294196;13.08980904;16.25789374;50.23104557;8.357723577;;
BOL A89;BOL;A;BOL_A;89;;;;;;;;7.868205332;4.456773577
BOLB2;BOL;B;BOL_B;2;0.026993468;0.043189548;0.761215786;14.88419802;18.10181936;40.25265886;25.92992496;68.41548751;2.186269622
BOLB4;BOL;B;BOL_B;4;;;;;;;;15.74060571;5.890622721
BOLB12;BOL;B;BOL_B;12;;;;;;;;14.59814106;5.988440209
BOLB22;BOL;B;BOL_B;22;;;;;;;;25.60667831;7.02750275
BOLB32;BOL;B;BOL_B;32;;;;;;;;21.51182473;6.935822411
BOLB42;BOL;B;BOL_B;42;;;;;;;;26.16648003;6.357366411
BOLB44;BOL;B;BOL_B;44;0.00511082;0.764919334;3.780302901;21.74653742;19.35297024;47.98548527;6.364674015;;
BOLC2;BOL;C;BOL_C;2;0.052521008;2.18837535;6.569502801;13.21778711;18.86817227;43.87692577;15.22671569;18.14031385;5.918876755
BOLC4;BOL;C;BOL_C;4;;;;;;;;16.73598984;5.449499921
BOLC12;BOL;C;BOL_C;12;;;;;;;;16.89435628;6.696442283
BOLC22;BOL;C;BOL_C;22;;;;;;;;19.16435797;7.588170865
BOLC32;BOL;C;BOL_C;32;;;;;;;;25.95168136;9.781521384
BOLC42;BOL;C;BOL_C;42;;;;;;;;33.72093023;21.94900532
BOLC44;BOL;C;BOL_C;44;0.132472264;1.4571949;4.65308826;15.69796324;22.47060772;32.17420103;23.41447259;28.85721932;10.46433828
