WL;Av22 BB-A 02-04;Av22 BB-A 14-16;Av22 BB-A 24-26;Av22 BB-A 40-42;Av22 BOL-A 02-04;Av22 BOL-A 14-16;Av22 BOL-A 24-26;Av22 BOL-A 40-42;Av22 BOL-A 52-54;Av22 BOL-A 64-66;Av22 BOL-A 84-86;Av22 HAL-C 02-04;Av22 HAL-C 14-16;Av22 HAL-C 24-26;Av22 HAL-C 40-42;Av22 HAL-C 52-54;Av22 HAL-C 64-66;Av22 HAL-C 74-76;Av22 J-C 02-04;Av22 J-C 14-16;Av22 J-C 24-26;Av22 J-C 40-42;Av22 J-C 52-54;Av22 J-C 66-64;A4.1;A4.2;A4.3;A4.4;A4.5;H4.1;H4.2;H4.3;H4.4;H4.5;H3.1;H3.2;H3.3;H3.4;H3.5;G4.1;G4.2;G4.3;G4.4;G4.5;G3.1;G3.2;G3.3;G3.4;G3.5;F4.1;F4.2;F4.3;F4.4;F4.5;F3.1;F3.2;F3.3;F3.4;F3.5;E1.1;E1.2;E1.3;E1.4;E1.5;D4.1;D4.2;D4.3;D4.4;D4.5;D3.1;D3.2;D3.3;D3.4;D3.5;D2.1;D2.2;D2.3;D2.4;D2.5;D1.1;D1.2;D1.3;D1.4;D1.5;C4.1;C4.2;C4.3;C4.4;C4.5;C3.1;C3.2;C3.3;C3.4;C3.5;C2.1;C2.2;C2.3;C2.4;C2.5;C1.1;C1.2;C1.3;C1.4;C1.5;B4.1;B4.2;B4.3;B4.4;B4.5;B3.1;B3.2;B3.3;B3.4;B3.5;B2.1;B2.2;B2.3;B2.4;B2.5;B1.1;B1.2;B1.3;B1.4;B1.5
432.371189;0.634852;0.671849;0.65963;0.597966;0.745893;0.718518;0.622935;0.6808;0.790373;0.654519;0.76912;0.584441;0.815213;0.681574;0.581308;0.624436;0.626933;0.720104;0.796182;0.630003;0.68497;0.754063;0.498087;0.782037;0.294360908;0.294360908;0.294360908;0.294360908;0.294360908;0;0;0;0;0;0.25572092;0.25572092;0.25572092;0.25572092;0.25572092;0.09938733;0.09938733;0.09938733;0.09938733;0.09938733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.45090749;0.45090749;0.45090749;0.45090749;0.45090749;0.439709542;0.439709542;0.439709542;0.439709542;0.439709542;0;0;0;0;0;0;0;0;0;0;0.158396862;0.158396862;0.158396862;0.158396862;0.158396862;0.06419511;0.06419511;0.06419511;0.06419511;0.06419511;0.033652309;0.033652309;0.033652309;0.033652309;0.033652309;0;0;0;0;0;0;0;0;0;0;0.246496019;0.246496019;0.246496019;0.246496019;0.246496019;0;0;0;0;0;0.266775635;0.266775635;0.266775635;0.266775635;0.266775635;0.067315639;0.067315639;0.067315639;0.067315639;0.067315639
434.234858;0.625197;0.661046;0.64928;0.591329;0.73714;0.710749;0.616178;0.674482;0.781225;0.644901;0.759896;0.579391;0.803422;0.674511;0.573794;0.619377;0.618239;0.711945;0.78729;0.62137;0.67455;0.740366;0.492138;0.767238;0.294360908;0.294360908;0.294360908;0.294360908;0.294360908;0;0;0;0;0;0.25572092;0.25572092;0.25572092;0.25572092;0.25572092;0.09938733;0.09938733;0.09938733;0.09938733;0.09938733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.461845913;0.461845913;0.461845913;0.461845913;0.461845913;0.439709542;0.439709542;0.439709542;0.439709542;0.439709542;0;0;0;0;0;0;0;0;0;0;0.158396862;0.158396862;0.158396862;0.158396862;0.158396862;0.06419511;0.06419511;0.06419511;0.06419511;0.06419511;0.033652309;0.033652309;0.033652309;0.033652309;0.033652309;0;0;0;0;0;0;0;0;0;0;0.24374963;0.24374963;0.24374963;0.24374963;0.24374963;0;0;0;0;0;0.266775635;0.266775635;0.266775635;0.266775635;0.266775635;0.067315639;0.067315639;0.067315639;0.067315639;0.067315639
436.098527;0.619427;0.6545;0.642547;0.586283;0.732898;0.706325;0.612738;0.670743;0.777762;0.638883;0.754606;0.576281;0.794932;0.668735;0.5694;0.617304;0.614335;0.70684;0.783771;0.616949;0.668881;0.733696;0.488102;0.760154;0.308789441;0.308789441;0.308789441;0.308789441;0.308789441;0;0;0;0;0;0.285909337;0.285909337;0.285909337;0.285909337;0.285909337;0.09938733;0.09938733;0.09938733;0.09938733;0.09938733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.461845913;0.461845913;0.461845913;0.461845913;0.461845913;0.436970435;0.436970435;0.436970435;0.436970435;0.436970435;0;0;0;0;0;0;0;0;0;0;0.158396862;0.158396862;0.158396862;0.158396862;0.158396862;0.058705718;0.058705718;0.058705718;0.058705718;0.058705718;0.033648872;0.033648872;0.033648872;0.033648872;0.033648872;0;0;0;0;0;0;0;0;0;0;0.24374963;0.24374963;0.24374963;0.24374963;0.24374963;0;0;0;0;0;0.253043104;0.253043104;0.253043104;0.253043104;0.253043104;0.053602775;0.053602775;0.053602775;0.053602775;0.053602775
437.962196;0.617314;0.652038;0.63956;0.582866;0.732894;0.705224;0.612504;0.669341;0.77921;0.636745;0.753055;0.57508;0.789983;0.664703;0.567955;0.617797;0.614884;0.704928;0.785037;0.61665;0.668086;0.733435;0.486234;0.760232;0.308789441;0.308789441;0.308789441;0.308789441;0.308789441;0;0;0;0;0;0.299630008;0.299630008;0.299630008;0.299630008;0.299630008;0.085668921;0.085668921;0.085668921;0.085668921;0.085668921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.461845913;0.461845913;0.461845913;0.461845913;0.461845913;0.436970435;0.436970435;0.436970435;0.436970435;0.436970435;0;0;0;0;0;0;0;0;0;0;0.158402801;0.158402801;0.158402801;0.158402801;0.158402801;0.058705718;0.058705718;0.058705718;0.058705718;0.058705718;0.033648872;0.033648872;0.033648872;0.033648872;0.033648872;0;0;0;0;0;0;0;0;0;0;0.24374963;0.24374963;0.24374963;0.24374963;0.24374963;0;0;0;0;0;0.253043104;0.253043104;0.253043104;0.253043104;0.253043104;0.053602775;0.053602775;0.053602775;0.053602775;0.053602775
439.825865;0.617984;0.65274;0.639812;0.580954;0.736066;0.706907;0.614889;0.669776;0.784007;0.638193;0.754518;0.575503;0.788422;0.662676;0.568773;0.620105;0.618839;0.705959;0.789683;0.619672;0.671459;0.737911;0.486486;0.765623;0.308789441;0.308789441;0.308789441;0.308789441;0.308789441;0;0;0;0;0;0.299630008;0.299630008;0.299630008;0.299630008;0.299630008;0.085668921;0.085668921;0.085668921;0.085668921;0.085668921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.461843075;0.461843075;0.461843075;0.461843075;0.461843075;0.436970435;0.436970435;0.436970435;0.436970435;0.436970435;0;0;0;0;0;0;0;0;0;0;0.158402801;0.158402801;0.158402801;0.158402801;0.158402801;0.058705718;0.058705718;0.058705718;0.058705718;0.058705718;0.033648872;0.033648872;0.033648872;0.033648872;0.033648872;0;0;0;0;0;0;0;0;0;0;0.246491271;0.246491271;0.246491271;0.246491271;0.246491271;0;0;0;0;0;0.253043104;0.253043104;0.253043104;0.253043104;0.253043104;0.053602775;0.053602775;0.053602775;0.053602775;0.053602775
441.689534;0.620237;0.65528;0.642373;0.580303;0.740939;0.710503;0.619024;0.671448;0.790274;0.642527;0.757984;0.577115;0.789822;0.662703;0.570914;0.623371;0.624796;0.709392;0.795922;0.624801;0.677728;0.744955;0.488572;0.773815;0.321159586;0.321159586;0.321159586;0.321159586;0.321159586;0;0;0;0;0;0.316097754;0.316097754;0.316097754;0.316097754;0.316097754;0.091173036;0.091173036;0.091173036;0.091173036;0.091173036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.461843075;0.461843075;0.461843075;0.461843075;0.461843075;0.423250928;0.423250928;0.423250928;0.423250928;0.423250928;0;0;0;0;0;0;0;0;0;0;0.158408739;0.158408739;0.158408739;0.158408739;0.158408739;0.05595929;0.05595929;0.05595929;0.05595929;0.05595929;0.033645436;0.033645436;0.033645436;0.033645436;0.033645436;0;0;0;0;0;0;0;0;0;0;0.246491271;0.246491271;0.246491271;0.246491271;0.246491271;0;0;0;0;0;0.231071056;0.231071056;0.231071056;0.231071056;0.231071056;0.050174559;0.050174559;0.050174559;0.050174559;0.050174559
443.553203;0.62291;0.658334;0.646163;0.58061;0.746062;0.715048;0.623996;0.673815;0.796292;0.648857;0.762431;0.579466;0.793605;0.664619;0.573468;0.626838;0.631394;0.714527;0.802048;0.630778;0.685414;0.752514;0.49206;0.782354;0.321159586;0.321159586;0.321159586;0.321159586;0.321159586;0;0;0;0;0;0.316097754;0.316097754;0.316097754;0.316097754;0.316097754;0.077442661;0.077442661;0.077442661;0.077442661;0.077442661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.461843075;0.461843075;0.461843075;0.461843075;0.461843075;0.423250928;0.423250928;0.423250928;0.423250928;0.423250928;0;0;0;0;0;0;0;0;0;0;0.158408739;0.158408739;0.158408739;0.158408739;0.158408739;0.05595929;0.05595929;0.05595929;0.05595929;0.05595929;0.033645436;0.033645436;0.033645436;0.033645436;0.033645436;0;0;0;0;0;0;0;0;0;0;0.424849838;0.424849838;0.424849838;0.424849838;0.424849838;0;0;0;0;0;0.231071056;0.231071056;0.231071056;0.231071056;0.231071056;0.050174559;0.050174559;0.050174559;0.050174559;0.050174559
445.416872;0.625169;0.660925;0.650218;0.581556;0.750365;0.719697;0.629051;0.676492;0.800877;0.656317;0.767031;0.582184;0.799136;0.668079;0.575785;0.630012;0.637624;0.720634;0.806814;0.636603;0.693171;0.759139;0.496483;0.78945;0.321159586;0.321159586;0.321159586;0.321159586;0.321159586;0;0;0;0;0;0.316097754;0.316097754;0.316097754;0.316097754;0.316097754;0.077442661;0.077442661;0.077442661;0.077442661;0.077442661;0;0;0;0;0;0;0;0;0;0;0.03409664;0.03409664;0.03409664;0.03409664;0.03409664;0.489193389;0.489193389;0.489193389;0.489193389;0.489193389;0.415021621;0.415021621;0.415021621;0.415021621;0.415021621;0;0;0;0;0;0;0;0;0;0;0.158408739;0.158408739;0.158408739;0.158408739;0.158408739;0.058698791;0.058698791;0.058698791;0.058698791;0.058698791;0.033641999;0.033641999;0.033641999;0.033641999;0.033641999;0;0;0;0;0;0;0;0;0;0;0.249232912;0.249232912;0.249232912;0.249232912;0.249232912;0;0;0;0;0;0.231071056;0.231071056;0.231071056;0.231071056;0.231071056;0.050174559;0.050174559;0.050174559;0.050174559;0.050174559
447.28054;0.626661;0.662601;0.653868;0.582848;0.753337;0.723864;0.633715;0.679281;0.803548;0.664202;0.771265;0.585032;0.805769;0.672592;0.577595;0.632713;0.643004;0.727046;0.809625;0.641716;0.70004;0.764206;0.501414;0.79428;0.33352973;0.33352973;0.33352973;0.33352973;0.33352973;0;0;0;0;0;0.316100695;0.316100695;0.316100695;0.316100695;0.316100695;0.077454626;0.077454626;0.077454626;0.077454626;0.077454626;0;0;0;0;0;0;0;0;0;0;0.03409664;0.03409664;0.03409664;0.03409664;0.03409664;0.489193389;0.489193389;0.489193389;0.489193389;0.489193389;0.415021621;0.415021621;0.415021621;0.415021621;0.415021621;0.390263482;0.390263482;0.390263482;0.390263482;0.390263482;0;0;0;0;0;0.161158308;0.161158308;0.161158308;0.161158308;0.161158308;0.058698791;0.058698791;0.058698791;0.058698791;0.058698791;0.033641999;0.033641999;0.033641999;0.033641999;0.033641999;0;0;0;0;0;0;0;0;0;0;0.872121821;0.872121821;0.872121821;0.872121821;0.872121821;0;0;0;0;0;0.231071056;0.231071056;0.231071056;0.231071056;0.231071056;0.042632483;0.042632483;0.042632483;0.042632483;0.042632483
449.144209;0.627486;0.663433;0.656795;0.584233;0.754996;0.727256;0.637806;0.68213;0.804454;0.672014;0.774901;0.587886;0.812837;0.677573;0.578982;0.635022;0.647541;0.733202;0.8105;0.645991;0.705532;0.767855;0.50651;0.796958;0.33352973;0.33352973;0.33352973;0.33352973;0.33352973;0;0;0;0;0;0.316100695;0.316100695;0.316100695;0.316100695;0.316100695;0.077454626;0.077454626;0.077454626;0.077454626;0.077454626;0;0;0;0;0;0;0;0;0;0;0.03409664;0.03409664;0.03409664;0.03409664;0.03409664;0.497396497;0.497396497;0.497396497;0.497396497;0.497396497;0.415021621;0.415021621;0.415021621;0.415021621;0.415021621;0.390263482;0.390263482;0.390263482;0.390263482;0.390263482;0;0;0;0;0;0.161158308;0.161158308;0.161158308;0.161158308;0.161158308;0.058698791;0.058698791;0.058698791;0.058698791;0.058698791;0.033641999;0.033641999;0.033641999;0.033641999;0.033641999;0;0;0;0;0;0;0;0;0;0;0.306854842;0.306854842;0.306854842;0.306854842;0.306854842;0;0;0;0;0;0.231071056;0.231071056;0.231071056;0.231071056;0.231071056;0.042632483;0.042632483;0.042632483;0.042632483;0.042632483
