"","RC1","RC4","RC3","RC17","RC2","RC13","RC5","RC7","RC6","RC10","RC11","RC16","RC12","RC8","RC14","RC19","RC15","RC9","RC18","RC20"
"Av22.BB.A.02.04",0.98394216950352,0.018886554298769,0.100989281976288,-0.0142946515014384,-0.0300737711844338,0.0304277247039447,-0.00804722212659593,0.0757985378003367,0.0459517975844072,-0.0295117115420048,0.0251212753156762,0.0529994278328148,0.052166048755885,0.0320191496875734,0.0414876626454211,0.0283405863999082,-0.0140744013643676,-0.00507815631697756,-0.0039743495831244,-0.0142367110504133
"Av22.BB.A.14.16",0.985160557716434,0.0020921118202412,0.0908727418068534,-0.0173831482516451,-0.0297823805511457,0.0221138734334393,-0.00971449236658192,0.0735073042304172,0.0483233152772226,-0.0324869253603429,0.022228781792391,0.0559862624342232,0.0512823695055188,0.0320931468159516,0.0419930755511333,0.0136274943678379,-0.0208366509727412,-0.00679634653697832,-0.00989732769911127,-0.019860633894608
"Av22.BB.A.24.26",0.985227843869294,0.00192593844340152,0.0865297053485284,-0.0191407175678586,-0.0317053769160005,0.0221915870592896,-0.00782421895755882,0.0725581551802895,0.0514230776850801,-0.0325850131289808,0.0194797391523926,0.057084156099528,0.0515671853981949,0.032718757987462,0.0436610904322212,0.013758993753653,-0.0209659783233851,-0.00630002967271753,-0.0091101434850805,-0.0224046434560491
"Av22.BB.A.40.42",0.981090485589358,0.00819741416514763,0.079507124817846,-0.0206843879791025,-0.0336052564117018,0.0179874155458804,-0.00635145191503815,0.0897493533800716,0.0828300648742233,-0.0337719042863573,0.0177054869364978,0.0606741280082761,0.0527047184852869,0.029473502094518,0.03789925304258,0.0245311841620927,-0.0193753048480136,-0.00951993936727403,-0.00678662780179941,-0.0318816580019344
"Av22.BOL.A.02.04",0.984150806920637,0.0264543869156601,0.0937014075416455,-0.0132348288067354,-0.0334504294756015,0.026873678604669,-0.00441146511744859,0.0704859602161624,0.0601059437482004,-0.0281204172630406,0.032656885192004,0.0514154845064824,0.0485186304869212,0.0264244177933445,0.0415462729776658,0.0258473213252162,-0.00847464382675757,-0.00537667266647871,-0.000400218241869899,-0.0269253892232977
"Av22.BOL.A.14.16",0.984195018065397,0.0297433398765865,0.099655328679542,-0.0147777310899126,-0.0347327281457344,0.0228956888166596,-0.00258973668746666,0.0667440590914496,0.0570821362241516,-0.0281968810527589,0.0389093736558247,0.0468603679491951,0.0470252510691971,0.0283118582577847,0.0412614425459276,0.0235255069218889,-0.0109864261695744,-0.00434728482792397,-0.000563405542694293,-0.0237551714602375
"Av22.BOL.A.24.26",0.983931480738705,0.0365907762809551,0.102776831920033,-0.0245629322675924,-0.0362586190261842,0.0229526064309744,0.00269254910830393,0.0636100097180217,0.0501187447079014,-0.0286391019710056,0.034530551795171,0.0436254764158686,0.0470255108455229,0.0330270452195932,0.0443356886081221,0.0267650644967923,-0.0169496669801777,-0.0012039687772265,0.000837233870631666,-0.0128345549598712
"Av22.BOL.A.40.42",0.983925761334118,0.00800430404742442,0.0779934306368768,-0.019209195580817,-0.033177898123176,0.0152196042383863,-0.00112553094146748,0.0725132120713095,0.0730172723704378,-0.0321822761241511,0.0275358392604645,0.0557512049600921,0.048319332039016,0.0262989719687045,0.0421563285444897,0.0144053791777323,-0.0180329536250499,-0.009180263019546,-0.00737645046786564,-0.0374446364430079
"Av22.BOL.A.52.54",0.981377930412136,0.00605795789466669,0.0718687581414243,-0.0168752958384901,-0.0350478473403092,0.0145275142159632,-0.000828764696130265,0.0752440646778764,0.0881854622261216,-0.0307765762743694,0.0289000407091333,0.0593587107208526,0.0485729002184249,0.0231933018286837,0.0400506876935247,0.0134752332800582,-0.0154903634924842,-0.0111623580934395,-0.00818893560448141,-0.0503789876976543
"Av22.BOL.A.64.66",0.984252983061476,0.0257693396835466,0.100228648846074,-0.0155175234979448,-0.0305305532306049,0.0339963963776237,-0.00717912659493918,0.0602678289603954,0.0258799505916239,-0.0312999485916309,0.0351777133077846,0.042651765987973,0.0574309430316322,0.0423368390472819,0.0545016258096046,0.0275054081940313,-0.0151620282221713,0.00121553290285752,-0.00296020944474973,-0.00543602938157942
